type,title,line,rmMonthly,rmAnnual,hint
sub,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COM — RM405/mo,10 months running · RM4859/yr,404.94,4859.28,Cancel?
sub,TIMEDOTCOM SHAH ALAM — RM209/mo,11 months running · RM2506/yr,208.82,2505.84,Cancel?
oneoff,AIRASIA-AKBBL-FLT KUALALUMPUR — RM2072,Travel · 2026-05 · 3.5× category norm,0.0,2071.6,Planned?
creep,Telco/Utilities — up RM105/mo,RM281 → RM386/mo · +RM1255/yr,104.56,1254.72,Watch
sub,ERASER.IO WWW.ERASER.IO — RM50/mo,4 months running · RM601/yr,50.09,601.02,Already cancelled?
sub,GOOGLE WHATSAPP BUSIN — RM42/mo,5 months running · RM504/yr,41.99,503.88,Cancel?
sub,GOOGLE WORKSPACE_DOUBL SINGAPORE — RM19/mo,5 months running · RM227/yr,18.9,226.8,Cancel?
oneoff,SUKI-YA- DA MEN MAL — RM142,F&B · 2026-05 · 5.7× category norm,0.0,141.5,Planned?
oneoff,NANDO'S-PALM MALL — RM139,F&B · 2026-05 · 5.6× category norm,0.0,138.9,Planned?
oneoff,SHELL -PELITA DAUR PETALING JAYAMYS — RM70,Vehicle · 2026-05 · 3.8× category norm,0.0,70.31,Planned?
