file,bank,smonth,sdate,n,prev,debit,credit,expected,cur,diff,status
alliance_statement_13.pdf,alliance,2026-04,2026-04-16,16,2907.85,3089.07,2938.79,3058.13,3058.13,0.0,VERIFIED
alliance_statement_15.pdf,alliance,2026-04,2026-04-16,16,2907.85,3089.07,2938.79,3058.13,3058.13,,DUPLICATE
alliance_statement_16.pdf,alliance,2026-04,2026-04-16,16,2907.85,3089.07,2938.79,3058.13,3058.13,,DUPLICATE
alliance_statement_2.pdf,alliance,2026-06,2026-06-16,18,2943.77,2449.02,2977.56,2415.23,2415.23,0.0,VERIFIED
alliance_statement_23.pdf,alliance,2026-03,2026-03-16,18,2630.56,3588.35,3311.06,2907.85,2907.85,0.0,VERIFIED
alliance_statement_29.pdf,alliance,2026-02,2026-02-16,20,2843.86,2692.7,2906.0,2630.56,2630.56,-0.0,VERIFIED
alliance_statement_3.pdf,alliance,2026-05,2026-05-16,19,3058.13,2983.22,3097.58,2943.77,2943.77,0.0,VERIFIED
alliance_statement_35.pdf,alliance,2026-01,2026-01-16,27,2468.23,6066.9,5691.27,2843.86,2843.86,-0.0,VERIFIED
alliance_statement_41.pdf,alliance,2025-12,2025-12-16,20,2539.33,2494.28,2565.38,2468.23,2468.23,-0.0,VERIFIED
alliance_statement_48.pdf,alliance,2025-11,2025-11-16,16,2652.9,2554.43,2668.0,2539.33,2539.33,0.0,VERIFIED
alliance_statement_54.pdf,alliance,2025-10,2025-10-16,21,2459.66,2690.17,2496.93,2652.9,2652.9,0.0,VERIFIED
alliance_statement_59.pdf,alliance,2025-09,2025-09-16,27,3454.45,2723.58,3718.37,2459.66,2459.66,0.0,VERIFIED
alliance_statement_65.pdf,alliance,2025-08,2025-08-16,36,2717.08,7824.14,7086.77,3454.45,3454.45,0.0,VERIFIED
alliance_statement_68.pdf,alliance,2025-07,2025-07-16,13,2387.54,2726.81,2397.27,2717.08,2717.08,0.0,VERIFIED
alliance_statement_72.pdf,alliance,2025-06,2025-06-16,23,1992.2,2393.74,1998.4,2387.54,2387.54,-0.0,VERIFIED
cimb_statement_12.pdf,cimb,2026-04,2026-04-19,13,912.68,2092.13,912.68,2092.13,2092.13,0.0,VERIFIED
cimb_statement_20.pdf,cimb,2026-03,2026-03-19,8,471.65,912.68,471.65,912.68,912.68,0.0,VERIFIED
cimb_statement_27.pdf,cimb,2026-02,2026-02-19,10,-350.8,1173.25,350.8,471.65,471.65,0.0,VERIFIED
cimb_statement_33.pdf,cimb,2026-01,2026-01-19,11,1142.09,5649.2,7142.09,-350.8,-350.8,-0.0,VERIFIED
cimb_statement_39.pdf,cimb,2025-12,2025-12-19,14,1372.19,1142.09,1372.19,1142.09,1142.09,-0.0,VERIFIED
cimb_statement_45.pdf,cimb,2025-11,2025-11-19,12,1176.22,1372.19,1176.22,1372.19,1372.19,-0.0,VERIFIED
cimb_statement_53.pdf,cimb,2025-10,2025-10-19,15,1158.15,1176.22,1158.15,1176.22,1176.22,-0.0,VERIFIED
cimb_statement_58.pdf,cimb,2025-09,2025-09-19,11,1322.67,1158.15,1322.67,1158.15,1158.15,0.0,VERIFIED
cimb_statement_63.pdf,cimb,2025-08,2025-08-19,16,1644.0,1326.67,1648.0,1322.67,1322.67,0.0,VERIFIED
cimb_statement_67.pdf,cimb,2025-07,2025-07-19,20,1907.39,1650.0,1913.39,1644.0,1644.0,0.0,VERIFIED
cimb_statement_7.pdf,cimb,2026-05,2026-05-19,8,2092.13,677.07,2109.13,660.07,660.07,0.0,VERIFIED
cimb_statement_73.pdf,cimb,2025-06,2025-06-19,22,1520.07,2087.66,1700.34,1907.39,1907.39,-0.0,VERIFIED
