bank,card_last4,statement_month,total_spend
alliance,4963,2025-06,2084.74
alliance,4963,2025-07,1831.29
alliance,4963,2025-08,3514.35
alliance,4963,2025-09,2393.83
alliance,4963,2025-10,2192.13
alliance,4963,2025-11,2411.14
alliance,4963,2025-12,2350.99
alliance,4963,2026-01,2456.94
alliance,4963,2026-02,2282.74
alliance,4963,2026-03,2508.87
alliance,4963,2026-04,2679.11
alliance,4963,2026-05,2548.26
alliance,4963,2026-06,2038.18
alliance,8272,2025-06,309.0
alliance,8272,2025-07,895.52
alliance,8272,2025-08,727.5
alliance,8272,2025-09,186.46
alliance,8272,2025-10,354.75
alliance,8272,2026-05,25.0
cimb,4388,2025-06,285.36
cimb,4388,2025-07,150.43
cimb,4388,2025-08,111.2
cimb,4388,2025-09,133.25
cimb,4388,2025-10,96.11
cimb,4388,2025-11,409.27
cimb,4388,2025-12,179.17
cimb,4388,2026-01,4828.86
cimb,4388,2026-02,378.93
cimb,4388,2026-03,118.35
cimb,4388,2026-04,1334.13
cimb,4388,2026-05,17.99
hsbc,9265,2025-07,1500.98
hsbc,9265,2025-09,749.31
hsbc,9265,2025-10,538.74
hsbc,9265,2025-11,1852.07
hsbc,9265,2025-12,1134.58
hsbc,9265,2026-01,1116.69
hsbc,9265,2026-02,7470.08
hsbc,9265,2026-03,1496.63
hsbc,9265,2026-04,1643.06
hsbc,9265,2026-05,3504.1
hsbc,9265,2026-06,1464.61
maybank,5161,2025-06,169.95
maybank,5161,2025-07,168.89
maybank,5161,2025-08,193.89
maybank,5161,2025-09,168.89
maybank,5161,2025-10,440.34
maybank,5161,2025-11,168.89
maybank,5161,2025-12,171.49
maybank,5161,2026-01,168.89
maybank,5161,2026-02,168.89
maybank,5161,2026-03,168.89
maybank,5161,2026-04,168.89
maybank,5161,2026-05,618.11
rhb,4297,2025-10,161.71
rhb,4297,2025-11,1094.7
rhb,4297,2025-12,1191.44
rhb,4297,2026-01,101.75
rhb,4297,2026-02,1223.89
rhb,4297,2026-03,49.19
rhb,4297,2026-04,409.6
rhb,4297,2026-05,319.69
sc,3829,2025-06,1089.75
sc,3829,2025-07,2058.98
sc,3829,2025-08,1094.48
sc,3829,2025-09,1951.17
sc,3829,2025-10,2014.27
sc,3829,2025-11,1731.81
sc,3829,2025-12,1437.17
sc,3829,2026-01,1363.2
sc,3829,2026-02,3709.96
sc,3829,2026-03,2082.08
sc,3829,2026-04,1400.88
sc,3829,2026-05,1883.26
sc,3829,2026-06,1565.33
