statement_month,category,total
2025-06,Charity,30.0
2025-06,Entertainment,58.0
2025-06,F&B,223.8
2025-06,Fees/Charges,139.95
2025-06,Groceries,549.15
2025-06,Health/Insurance,2333.99
2025-06,Installments/BT,8458.21
2025-06,Rebate/Cashback,0.0
2025-06,Shopping,281.43
2025-06,Vehicle,322.48
2025-07,Charity,30.0
2025-07,F&B,1300.65
2025-07,Fees/Charges,140.5
2025-07,Groceries,256.6
2025-07,Health/Insurance,2909.59
2025-07,Installments/BT,4755.08
2025-07,Rebate/Cashback,0.0
2025-07,Shopping,637.72
2025-07,Subscriptions,237.56
2025-07,Telco/Utilities,359.82
2025-07,Travel,664.92
2025-07,Vehicle,68.73
2025-08,Charity,30.0
2025-08,F&B,719.3
2025-08,Fees/Charges,25.0
2025-08,Groceries,187.25
2025-08,Health/Insurance,2105.99
2025-08,Installments/BT,6594.77
2025-08,Rebate/Cashback,0.0
2025-08,Shopping,827.22
2025-08,Travel,1420.56
2025-08,Vehicle,326.1
2025-09,Charity,30.0
2025-09,F&B,792.5
2025-09,Groceries,414.05
2025-09,Health/Insurance,2265.79
2025-09,Installments/BT,3052.6
2025-09,Rebate/Cashback,0.0
2025-09,Shopping,907.09
2025-09,Subscriptions,294.4
2025-09,Telco/Utilities,405.37
2025-09,Vehicle,473.71
2025-10,Charity,30.0
2025-10,Entertainment,124.0
2025-10,F&B,815.3
2025-10,Fees/Charges,85.0
2025-10,Groceries,387.4
2025-10,Health/Insurance,2839.69
2025-10,Installments/BT,3644.56
2025-10,Rebate/Cashback,0.0
2025-10,Shopping,895.56
2025-10,Subscriptions,86.12
2025-10,Telco/Utilities,216.62
2025-10,Vehicle,318.36
2025-11,Charity,30.0
2025-11,Entertainment,219.0
2025-11,F&B,1704.8
2025-11,Fees/Charges,70.0
2025-11,Groceries,524.75
2025-11,Health/Insurance,2492.09
2025-11,Installments/BT,2990.58
2025-11,Rebate/Cashback,0.0
2025-11,Shopping,1068.2
2025-11,Subscriptions,111.55
2025-11,Telco/Utilities,818.07
2025-11,Vehicle,629.42
2025-12,Charity,30.0
2025-12,Entertainment,78.42
2025-12,F&B,743.2
2025-12,Groceries,1509.2
2025-12,Health/Insurance,2280.09
2025-12,Installments/BT,2672.59
2025-12,Rebate/Cashback,0.0
2025-12,Shopping,1238.84
2025-12,Subscriptions,198.01
2025-12,Telco/Utilities,208.82
2025-12,Vehicle,178.26
2026-01,Charity,30.0
2026-01,Entertainment,218.88
2026-01,F&B,669.75
2026-01,Groceries,540.1
2026-01,Health/Insurance,2320.99
2026-01,Installments/BT,3562.72
2026-01,Rebate/Cashback,0.0
2026-01,Shopping,515.09
2026-01,Subscriptions,428.99
2026-01,Telco/Utilities,208.82
2026-01,Travel,4826.0
2026-01,Vehicle,277.71
2026-02,Certifications,350.0
2026-02,Charity,30.0
2026-02,Entertainment,30.0
2026-02,F&B,1438.95
2026-02,Fees/Charges,473.0
2026-02,Groceries,174.9
2026-02,Health/Insurance,2559.39
2026-02,Installments/BT,11726.78
2026-02,Rebate/Cashback,0.0
2026-02,Shopping,2717.39
2026-02,Subscriptions,523.57
2026-02,Telco/Utilities,243.57
2026-02,Travel,5775.47
2026-02,Vehicle,918.25
2026-03,Charity,30.0
2026-03,Entertainment,68.0
2026-03,F&B,86.5
2026-03,Fees/Charges,0.0
2026-03,Groceries,393.4
2026-03,Health/Insurance,2209.09
2026-03,Installments/BT,8593.31
2026-03,Rebate/Cashback,0.0
2026-03,Shopping,2008.17
2026-03,Subscriptions,547.46
2026-03,Telco/Utilities,391.67
2026-03,Travel,590.51
2026-03,Vehicle,99.21
2026-04,Charity,30.0
2026-04,Entertainment,207.95
2026-04,F&B,541.55
2026-04,Groceries,679.8
2026-04,Health/Insurance,3208.99
2026-04,Installments/BT,3799.35
2026-04,Shopping,1263.66
2026-04,Subscriptions,541.12
2026-04,Telco/Utilities,325.57
2026-04,Travel,590.52
2026-04,Vehicle,246.51
2026-05,Charity,30.0
2026-05,F&B,428.2
2026-05,Fees/Charges,155.34
2026-05,Groceries,337.3
2026-05,Health/Insurance,2993.89
2026-05,Installments/BT,7600.48
2026-05,Rebate/Cashback,0.0
2026-05,Shopping,1066.59
2026-05,Subscriptions,592.25
2026-05,Telco/Utilities,361.52
2026-05,Travel,2407.68
2026-05,Vehicle,543.64
2026-06,F&B,335.45
2026-06,Groceries,299.9
2026-06,Health/Insurance,2258.69
2026-06,Installments/BT,409.96
2026-06,Rebate/Cashback,0.0
2026-06,Shopping,796.25
2026-06,Subscriptions,466.29
2026-06,Telco/Utilities,470.65
2026-06,Travel,66.77
2026-06,Vehicle,374.12
